ID,Name,Age,Gender,Department,Salary,Joining Date,Performance Score,Experience,Status,Location,Bonus,Normalized Salary,Experience Level,Age Group,Salary Rank,Year Joined,Monthly Salary,Employee ID,Projects,Team Lead,Salary Increase %,,,,,,
938,GARY MITCHELL,52,FEMALE,SALES,9963,9-22-2016,5,20,RETIRED,LOS ANGELES,996.3,0.996239659,SENIOR,MIDDLE-AGED,1,2016,830.25,938,Project D,unknown,67.70435894,,,,,,
909,SARA MARTINEZ,34,OTHER,HR,9951,2-18-2024,2.9,6,RETIRED,NEW YORK,995.1,0.994735523,MID,MIDDLE-AGED,2,2024,829.25,909,Project C,Prajwal,66.14074631,,,,,,
121,DAVID HAMPTON,39,FEMALE,HR,9941,07-06-2024,3,15,RETIRED,NEW YORK,994.1,0.993482076,SENIOR,MIDDLE-AGED,3,2024,828.4166667,121,Project D,Prajwal,65.97378746,,,,,,
290,SARA STOKES,30,FEMALE,IT,9921,10-01-2018,3,2,RETIRED,NEW YORK,992.1,0.990975182,JUNIOR,MIDDLE-AGED,2,2018,826.75,290,Project C,Ayush,70.62241612,,,,,,
595,MICHELLE SMITH,35,OTHER,SALES,9906,12-18-2018,2.9,9,ACTIVE,LOS ANGELES,990.6,0.989095011,SENIOR,MIDDLE-AGED,5,2018,825.5,595,Project C,unknown,66.74489408,,,,,,
86,CHASE TAYLOR,29,OTHER,IT,9901,10-04-2017,2,7,ACTIVE,REMOTE,990.1,0.988468288,MID,YOUNG,3,2017,825.0833333,86,Project C,Ayush,70.27845399,,,,,,
707,ANGELA ROBERTS,42,MALE,IT,9871,07-09-2018,2.9,5,RETIRED,LOS ANGELES,987.1,0.984707947,MID,MIDDLE-AGED,4,2018,822.5833333,707,Project D,Ayush,69.76251079,,,,,,
518,ANTHONY SANCHEZ DVM,37,OTHER,IT,9844,11-28-2020,2.9,4,ACTIVE,LOS ANGELES,984.4,0.98132364,MID,MIDDLE-AGED,5,2020,820.3333333,518,Project A,Ayush,69.29816191,,,,,,
899,TIFFANY JORDAN,44,MALE,SALES,9819,7-15-2022,2.9,13,ACTIVE,NEW YORK,981.9,0.978190023,SENIOR,MIDDLE-AGED,6,2022,818.25,899,Project C,unknown,65.2804477,,,,,,
113,LUKE MCPHERSON,34,OTHER,IT,9812,1-29-2016,3,13,ACTIVE,NEW YORK,981.2,0.97731261,SENIOR,MIDDLE-AGED,7,2016,817.6666667,113,Project A,Ayush,68.7478225,,,,,,
618,TIFFANY RICHARDSON,36,OTHER,IT,9775,11-24-2018,4,5,ACTIVE,LOS ANGELES,977.5,0.972674856,MID,MIDDLE-AGED,9,2018,814.5833333,618,Project B,Ayush,68.11149255,,,,,,
920,CHERYL SINGH,56,OTHER,HR,9761,5-14-2020,2.9,6,RETIRED,LOS ANGELES,976.1,0.97092003,MID,MIDDLE-AGED,6,2020,813.4166667,920,Project D,Prajwal,62.96852826,,,,,,
159,ERIN HARRISON,34,MALE,HR,9719,7-31-2019,2,2,RETIRED,REMOTE,971.9,0.965655553,JUNIOR,MIDDLE-AGED,7,2019,809.9166667,159,Project B,Prajwal,62.26730111,,,,,,
757,JAMES JAMES,38,MALE,SALES,9666,4-14-2016,2.9,15,ACTIVE,LOS ANGELES,966.6,0.959012284,SENIOR,MIDDLE-AGED,8,2016,805.5,757,Project D,unknown,62.70504201,,,,,,
779,DAVID NELSON,39,OTHER,SALES,9653,08-08-2021,2.9,19,RETIRED,NEW YORK,965.3,0.957382803,SENIOR,MIDDLE-AGED,10,2021,804.4166667,779,Project A,unknown,62.48621669,,,,,,
517,CHRISTINA LOWE,35,FEMALE,SALES,9630,07-03-2018,2.9,2,ACTIVE,LOS ANGELES,963,0.954499875,JUNIOR,MIDDLE-AGED,11,2018,802.5,517,Project D,unknown,62.0990642,,,,,,
704,CHERYL CHAMBERS,42,OTHER,IT,9621,11-18-2018,2,16,ACTIVE,REMOTE,962.1,0.953371772,SENIOR,MIDDLE-AGED,11,2018,801.75,704,Project A,Ayush,65.46298413,,,,,,
933,KRISTIN COLE,50,MALE,SALES,9616,02-03-2017,2,13,RETIRED,REMOTE,961.6,0.952745049,SENIOR,MIDDLE-AGED,12,2017,801.3333333,933,Project B,unknown,61.86340616,,,,,,
23,BRYCE CARTER,35,FEMALE,SALES,9598,12-16-2015,4,4,RETIRED,NEW YORK,959.8,0.950488844,MID,MIDDLE-AGED,13,2015,799.8333333,23,Project D,unknown,61.56041726,,,,,,
710,JACOB WOODS,54,FEMALE,IT,9592,06-03-2020,2.9,2,ACTIVE,NEW YORK,959.2,0.949736776,JUNIOR,MIDDLE-AGED,13,2020,799.3333333,710,Project B,Ayush,64.96423903,,,,,,
923,JOSEPH MURILLO,39,MALE,HR,9553,5-30-2018,2.9,15,ACTIVE,LOS ANGELES,955.3,0.944848333,SENIOR,MIDDLE-AGED,9,2018,796.0833333,923,Project A,Prajwal,59.49578429,,,,,,
101,BRYAN NAVARRO,26,FEMALE,IT,9538,1-23-2021,2.9,3,ACTIVE,NEW YORK,953.8,0.942968162,MID,YOUNG,14,2021,794.8333333,101,Project D,Ayush,64.03554127,,,,,,
793,OLIVIA BUTLER,28,FEMALE,IT,9518,10-05-2024,2.9,9,ACTIVE,LOS ANGELES,951.8,0.940461268,SENIOR,YOUNG,15,2024,793.1666667,793,Project C,Ayush,63.69157914,,,,,,
433,BRYAN MEDINA,41,OTHER,HR,9516,04-07-2021,3,13,RETIRED,NEW YORK,951.6,0.940210579,SENIOR,MIDDLE-AGED,10,2021,793,433,Project C,Prajwal,58.87803656,,,,,,
42,CHARLES MCCALL,58,OTHER,IT,9512,11-10-2024,2.9,8,RETIRED,LOS ANGELES,951.2,0.9397092,SENIOR,MIDDLE-AGED,16,2024,792.6666667,42,Project D,Ayush,63.5883905,,,,,,
889,JODI GRAVES,32,OTHER,IT,9511,5-23-2022,2.9,3,RETIRED,LOS ANGELES,951.1,0.939583856,MID,MIDDLE-AGED,17,2022,792.5833333,889,Project D,Ayush,63.57119239,,,,,,
406,HEATHER SCOTT,57,MALE,SALES,9505,8-18-2024,3,6,RETIRED,NEW YORK,950.5,0.938831787,MID,MIDDLE-AGED,14,2024,792.0833333,406,Project B,unknown,59.99497458,,,,,,
743,TIMOTHY GUZMAN,41,FEMALE,SALES,9409,9-17-2023,2.9,16,RETIRED,NEW YORK,940.9,0.926798696,SENIOR,MIDDLE-AGED,16,2023,784.0833333,743,Project B,unknown,58.37903375,,,,,,
945,MARY ARMSTRONG,29,FEMALE,HR,9402,12-13-2017,2.9,2,ACTIVE,NEW YORK,940.2,0.925921284,JUNIOR,YOUNG,12,2017,783.5,945,Project A,Prajwal,56.97470574,,,,,,
588,KRYSTAL RICE,42,OTHER,HR,9390,08-05-2021,5,13,RETIRED,NEW YORK,939,0.924417147,SENIOR,MIDDLE-AGED,13,2021,782.5,588,Project D,Prajwal,56.77435512,,,,,,
338,MICHELLE BRENNAN,60,OTHER,HR,9385,9-29-2024,2,15,RETIRED,REMOTE,938.5,0.923790424,SENIOR,SENIOR,14,2024,782.0833333,338,Project A,Prajwal,56.6908757,,,,,,
216,SARA JONES,50,FEMALE,SALES,9377,10-16-2019,2.9,3,ACTIVE,LOS ANGELES,937.7,0.922787666,MID,MIDDLE-AGED,17,2019,781.4166667,216,Project B,unknown,57.84038681,,,,,,
300,TERRY SMITH,38,FEMALE,SALES,9375,12-23-2022,2.9,2,RETIRED,NEW YORK,937.5,0.922536977,JUNIOR,MIDDLE-AGED,18,2022,781.25,300,Project C,unknown,57.80672138,,,,,,
630,PATRICIA SCOTT,52,OTHER,SALES,9364,11-05-2019,2.9,5,ACTIVE,NEW YORK,936.4,0.921158185,MID,MIDDLE-AGED,19,2019,780.3333333,630,Project D,unknown,57.62156149,,,,,,
774,PENNY JENNINGS,30,OTHER,IT,9314,11-08-2016,2.9,4,ACTIVE,LOS ANGELES,931.4,0.91489095,MID,MIDDLE-AGED,19,2016,776.1666667,774,Project C,Ayush,60.18316538,,,,,,
858,SARAH FLETCHER,41,MALE,HR,9285,04-11-2023,3,19,ACTIVE,NEW YORK,928.5,0.911255954,SENIOR,MIDDLE-AGED,16,2023,773.75,858,Project D,Prajwal,55.02128725,,,,,,
826,SARAH SANDERS,54,OTHER,IT,9279,3-24-2021,2.9,18,RETIRED,NEW YORK,927.9,0.910503886,SENIOR,MIDDLE-AGED,21,2021,773.25,826,Project C,Ayush,59.58123165,,,,,,
382,DAVID MARSHALL,43,OTHER,SALES,9269,10-05-2018,2,13,RETIRED,REMOTE,926.9,0.909250439,SENIOR,MIDDLE-AGED,22,2018,772.4166667,382,Project B,unknown,56.02245338,,,,,,
35,LISA FRY,51,FEMALE,IT,9259,9-26-2017,4,17,RETIRED,LOS ANGELES,925.9,0.907996992,SENIOR,MIDDLE-AGED,25,2017,771.5833333,35,Project A,Ayush,59.23726952,,,,,,
255,SUSAN FISHER,45,MALE,HR,9207,01-05-2020,4,4,ACTIVE,LOS ANGELES,920.7,0.901479067,MID,MIDDLE-AGED,17,2020,767.25,255,Project B,Prajwal,53.71900826,,,,,,
492,DR. JACOB CASTANEDA DVM,53,OTHER,SALES,9181,2-17-2024,5,2,RETIRED,LOS ANGELES,918.1,0.898220105,JUNIOR,MIDDLE-AGED,23,2024,765.0833333,492,Project B,unknown,54.54117429,,,,,,
